product_name,JAN_18_quantity,JAN_18_amount,FEB_18_quantity,FEB_18_amount,MAR_18_quantity,MAR_18_amount,APRIL_18_quantity,APRIL_18_amount,MAY_18_quantity,MAY_18_amount,JUNE_18_quantity,JUNE_18_amount,JULY_18_quantity,JULY_18_amount,AUG_18_quantity,AUG_18_amount,SEP_18_quantity,SEP_18_amount,OCT_18_quantity,OCT_18_amount,NOV_18_quantity,NOV_18_amount,DEC_18_quantity,DEC_18_amount,JAN_19_quantity,JAN_19_amount,FEB_19_quantity,FEB_19_amount,MAR_19_quantity,MAR_19_amount,APRIL_19_quantity,APRIL_19_amount,MAY_19_quantity,MAY_19_amount,JUNE_19_quantity,JUNE_19_amount,JULY_19_quantity,JULY_19_amount,AUG_19_quantity,AUG_19_amount,SEP_19_quantity,SEP_19_amount,OCT_19_quantity,OCT_19_amount,NOV_19_quantity,NOV_19_amount,DEC_19_quantity,DEC_19_amount,JAN_20_quantity,JAN_20_amount,FEB_20_quantity,FEB_20_amount,MAR_20_quantity,MAR_20_amount,APRIL_20_quantity,APRIL_20_amount,MAY_20_quantity,MAY_20_amount,JUNE_20_quantity,JUNE_20_amount,JULY_20_quantity,JULY_20_amount,AUG_20_quantity,AUG_20_amount,SEP_20_quantity,SEP_20_amount,OCT_20_quantity,OCT_20_amount,NOV_20_quantity,NOV_20_amount,DEC_20_quantity,DEC_20_amount,JAN_21_quantity,JAN_21_amount,FEB_21_quantity,FEB_21_amount,MAR_21_quantity,MAR_21_amount,APRIL_21_quantity,APRIL_21_amount,MAY_21_quantity,MAY_21_amount,JUNE_21_quantity,JUNE_21_amount,JULY_21_quantity,JULY_21_amount,AUG_21_quantity,AUG_21_amount,SEP_21_quantity,SEP_21_amount,OCT_21_quantity,OCT_21_amount,NOV_21_quantity,NOV_21_amount,DEC_21_quantity,DEC_21_amount,JAN_22_quantity,JAN_22_amount,FEB_22_quantity,FEB_22_amount,MAR_22_quantity,MAR_22_amount,APRIL_22_quantity,APRIL_22_amount,MAY_22_quantity,MAY_22_amount,JUNE_22_quantity,JUNE_22_amount,JULY_22_quantity,JULY_22_amount,AUG_22_quantity,AUG_22_amount,SEP_22_quantity,SEP_22_amount,OCT_22_quantity,OCT_22_amount,NOV_22_quantity,NOV_22_amount,DEC_22_quantity,DEC_22_amount,JAN_23_quantity,JAN_23_amount,FEB_23_quantity,FEB_23_amount,MAR_23_quantity,MAR_23_amount,APRIL_23_quantity,APRIL_23_amount,MAY_23_quantity,MAY_23_amount,JUNE_23_quantity,JUNE_23_amount,JULY_23_quantity,JULY_23_amount,AUG_23_quantity,AUG_23_amount,SEP_23_quantity,SEP_23_amount,OCT_23_quantity,OCT_23_amount,NOV_23_quantity,NOV_23_amount,DEC_23_quantity,DEC_23_amount,JAN_24_quantity,JAN_24_amount,FEB_24_quantity,FEB_24_amount,MAR_24_quantity,MAR_24_amount,APRIL_24_quantity,APRIL_24_amount,MAY_24_quantity,MAY_24_amount,JUNE_24_quantity,JUNE_24_amount,total_quantity,total_amount,category
10KG BABA GOLD,6.0,3340.0,0.0,0.0,6.0,3320.0,3.0,1670.0,15.0,8335.65,8.0,4520.0,4.0,2255.0,5.0,2900.0,5.0,2900.0,9.5,5478.37,3.0,1710.0,5.0,2900.0,5.0,2860.0,8.0,4520.0,1.0,680.0,5.0,3000.0,5.0,3000.0,1.0,600.0,17.0,5050.0,3.0,1920.0,6.0,3850.0,4.0,2600.0,1.0,640.0,5.0,2900.0,5.0,2860.0,1.0,618.0,7.0,3866.31,8.5,4723.2,7.5,4492.5,4.5,2505.015,20.5,6089.73,5.0,3200.0,5.0,2800.0,2.0,1120.0,3.0,1650.0,5.0,2762.5,5.0,2860.0,1.0,618.0,5.0,2761.65,4.0,2222.68,6.5,3893.5,4.5,2505.015,19.0,5644.12,5.0,2900.0,14.0,7840.0,1.0,560.0,1.0,550.0,4.0,2210.0,6.0,3340.0,0.0,0.0,21.0,11619.93,5.0,2783.35,9.0,5001.39,5.0,2900.0,8.0,4510.0,12.0,6960.0,11.5,6670.0,9.0,5085.0,8.5,4845.0,7.5,4350.0,5.0,2860.0,1.0,620.0,0.0,0.0,4.0,2340.0,10.0,6000.0,5.0,3000.0,20.0,5941.2,5.0,3200.0,11.1,7122.537,8.0,5200.0,4.0,2560.0,10.5,6956.25,4.0,2770.0,1.0,700.0,1.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,466.6,250215.89700000003,Rice
10KG SPOORTHI,7.0,3790.0,7.0,3770.0,3.0,1640.0,4.0,2170.0,9.0,4860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,550.0,2.0,1080.0,0.0,0.0,0.0,0.0,1.0,700.0,6.0,3529.98,6.0,3530.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1300.0,8.0,5140.0,0.0,0.0,2.0,1080.0,0.0,0.0,1.0,548.0,5.0,2728.35,9.5,5144.25,8.5,4992.31,5.5,2983.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3348.0,2.0,1100.0,0.0,0.0,1.0,548.0,3.0,1637.01,5.0,2707.5,7.5,4404.975,5.5,2983.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2230.0,1.0,550.0,7.0,3790.0,22.0,11848.54,18.0,9840.06,6.0,3255.0,3.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,3575.0,4.5,2430.0,0.0,0.0,1.0,550.0,0.0,0.0,0.0,0.0,11.0,6471.63,0.0,0.0,0.0,0.0,0.0,0.0,7.1,4615.0,12.0,7710.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3500.0,1.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,226.6,128951.10500000001,Rice
15 LTR SUNPURE,5.0,10050.0,2.0,4170.0,1.0,3200.0,0.0,0.0,0.0,0.0,1.0,2730.0,2.0,5240.0,1.0,2520.0,2.0,4700.0,0.0,0.0,1.0,2460.0,1.0,2430.0,6.0,12660.0,1.0,2730.0,2.0,3360.0,1.0,1880.0,1.0,1880.0,14.0,23520.0,1.0,1650.0,2.0,3380.0,0.0,0.0,1.0,1600.0,0.0,0.0,1.0,2430.0,6.0,12660.0,4.0,8312.0,3.0,9597.0,0.0,0.0,3.5,6576.5,0.0,0.0,4.5,7425.0,4.0,6760.0,2.0,4500.0,4.0,9133.32,0.0,0.0,2.0,4000.0,6.0,12660.0,4.0,8312.0,1.0,3199.0,0.0,0.0,2.5,4697.5,0.0,0.0,3.0,4950.0,1.0,2520.0,11.0,24750.0,3.0,6850.0,0.0,0.0,1.0,2000.0,5.0,10050.0,17.0,35445.0,16.0,51200.0,0.0,0.0,0.0,0.0,1.0,2520.0,6.0,15720.0,8.0,20160.0,8.5,19975.0,2.0,5460.0,6.5,15990.0,3.5,8505.0,6.0,12660.0,4.0,8320.0,0.0,0.0,0.0,0.0,6.0,11280.0,18.0,30240.0,4.0,6600.0,4.0,6760.0,0.0,0.0,5.0,8000.0,0.0,0.0,15.5,25503.39,1.0,1660.0,8.0,13160.0,2.0,3360.0,0.0,0.0,8.5,13940.0,0.0,0.0,267.0,558000.71,Oils
3ROSES 100G,4.0,291.0,0.0,0.0,2.0,155.0,1.0,78.0,11.0,858.0,3.0,231.0,3.0,234.0,4.0,312.0,3.0,234.0,6.5,515.65,4.0,312.0,2.0,161.0,1.0,83.0,3.0,231.0,0.0,0.0,1.0,88.0,1.0,88.0,5.0,440.0,2.0,175.0,3.0,264.0,1.0,88.0,3.0,265.0,1.0,87.0,2.0,161.0,1.0,83.0,1.0,83.0,4.0,306.0,6.5,500.5,3.5,304.5,2.5,195.0,5.5,481.25,5.0,440.0,0.0,0.0,2.0,148.0,4.0,296.0,4.0,294.68,1.0,83.0,1.0,83.0,2.0,153.0,2.0,154.0,2.5,217.5,2.5,195.0,4.0,350.0,4.0,312.0,0.0,0.0,1.0,74.0,2.0,148.0,3.0,221.0,4.0,291.0,0.0,0.0,17.0,1317.5,3.0,234.0,5.0,390.0,4.0,312.0,7.0,546.0,11.0,858.0,9.5,741.0,4.0,308.0,0.0,0.0,4.5,362.25,1.0,83.0,1.0,83.0,8.0,704.0,3.0,249.0,6.0,528.0,9.0,792.0,5.0,437.5,5.0,440.0,6.1,536.8,7.0,618.31,4.0,348.0,0.0,0.0,1.0,88.0,7.0,618.0,0.0,0.0,6.0,528.0,12.0,1056.0,10.89,958.32,291.49,23901.760000000002,Beverages
3ROSES 250G,1.0,180.0,3.0,570.0,0.0,0.0,2.0,365.0,11.0,2145.0,0.0,0.0,0.0,0.0,1.0,195.0,2.0,366.0,4.5,882.0,3.0,585.0,1.0,196.0,1.0,205.0,0.0,0.0,1.0,217.0,2.0,422.0,2.0,422.0,2.0,435.0,2.0,434.0,1.0,217.0,3.0,651.0,3.0,651.0,4.0,868.0,1.0,196.0,1.0,205.0,0.0,0.0,0.0,0.0,7.5,1361.25,4.5,945.0,3.5,638.75,5.5,1193.5,3.0,651.0,4.0,732.84,3.0,555.0,0.0,0.0,4.0,760.0,1.0,205.0,0.0,0.0,0.0,0.0,3.0,544.5,3.5,735.0,3.5,638.75,4.0,868.0,1.0,195.0,13.0,2381.73,2.0,370.0,0.0,0.0,3.0,570.0,1.0,180.0,18.0,3420.0,0.0,0.0,4.0,730.0,5.0,975.0,1.0,195.0,0.0,0.0,8.0,1560.0,8.5,1555.5,0.0,0.0,8.5,1657.5,3.5,686.0,1.0,205.0,0.0,0.0,1.0,220.0,3.0,621.0,7.0,1477.0,6.0,1305.0,5.0,1085.0,3.0,651.0,8.1,1757.7,7.0,1519.0,7.0,1519.0,6.5,1410.5,2.0,434.0,1.0,217.0,1.0,217.0,2.0,432.0,12.0,2604.0,3.89,855.8,254.48999999999998,51241.32,Beverages
3ROSES 500G,1.0,350.0,1.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,700.0,0.0,0.0,0.0,0.0,1.0,385.0,1.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,385.0,1.0,385.0,0.0,0.0,1.0,405.0,0.0,0.0,1.0,385.0,1.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1732.5,3.0,1155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,350.0,16.0,5520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,2975.0,0.0,0.0,0.0,0.0,3.5,1347.5,1.0,385.0,0.0,0.0,3.0,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1540.0,3.0,1155.0,0.0,0.0,5.0,2025.0,0.0,0.0,0.0,0.0,2.0,810.0,6.0,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,2426.68,81.39,30757.68,Beverages
3ROSES NC 100G,1.0,82.86,1.0,82.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,93.33,0.0,0.0,3.0,279.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,466.65,0.0,0.0,0.0,0.0,3.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.19,0.0,0.0,1.0,82.86,16.0,1325.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,438.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,197.0,1.0,88.57,0.0,0.0,5.0,466.65,0.0,0.0,5.0,466.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,481.665,55.89,4944.755,Beverages
5LIT SUNPURE CAN,7.0,4845.0,13.0,9095.0,22.0,18580.0,13.0,12460.0,16.0,15580.0,8.0,7595.0,5.0,4570.0,7.0,6215.0,7.0,5900.0,15.5,12729.38,11.0,9275.0,8.0,6425.0,10.0,7820.0,8.0,7595.0,4.0,2425.0,1.0,695.0,1.0,695.0,1.0,635.0,5.0,3170.0,3.0,1890.0,2.0,1230.0,8.0,4810.0,7.0,4195.0,8.0,6425.0,10.0,7820.0,4.0,3037.0,23.0,19401.65,18.5,17713.01,3.5,2429.0,14.5,13897.67,8.5,5389.0,5.0,3150.0,7.0,5430.81,10.0,7566.7,10.0,6940.0,16.0,11376.0,10.0,7820.0,4.0,3037.0,21.0,17714.55,14.0,13404.44,2.5,1735.0,14.5,13897.67,7.0,4438.0,7.0,6215.02,16.0,12413.28,9.0,6810.0,8.0,5550.0,15.0,10665.0,7.0,4845.0,28.0,19589.36,32.0,27025.6,15.0,14376.9,10.0,9737.5,7.0,6215.0,9.0,8226.0,14.0,12430.04,13.5,11378.61,9.0,8544.42,16.5,13912.47,10.5,8432.87,10.0,7820.0,4.0,3045.0,0.0,0.0,2.0,1420.0,6.0,4170.0,5.0,3175.0,8.0,5072.0,5.0,3150.0,7.1,4366.5,12.0,7215.0,10.0,5992.9,0.0,0.0,3.0,1890.0,4.0,2515.0,4.0,2425.0,4.0,2370.0,11.0,6545.0,0.0,0.0,715.1,568590.35,Oils
5LR FORTUNE,1.0,740.0,1.0,720.0,0.0,0.0,0.0,0.0,9.0,9450.0,0.0,0.0,1.0,920.0,0.0,0.0,1.0,980.0,0.0,0.0,1.0,920.0,0.0,0.0,2.0,1705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1560.0,0.0,0.0,3.0,2220.0,0.0,0.0,2.0,1705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8580.0,0.0,0.0,1.0,740.0,0.0,0.0,1.0,740.0,16.0,11520.0,0.0,0.0,0.0,0.0,3.0,3150.0,0.0,0.0,5.0,4600.0,0.0,0.0,7.5,7350.0,0.0,0.0,6.5,5980.0,0.0,0.0,2.0,1705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,695.0,0.0,0.0,1.0,735.0,11.0,7535.0,0.0,0.0,91.0,75955.0,Oils
5LR GOLD WINNER,5.0,3440.0,4.0,2930.0,2.0,1590.0,1.0,970.0,0.0,0.0,0.0,0.0,3.0,2750.0,2.0,1785.0,2.0,1580.0,5.5,4372.5,0.0,0.0,2.0,1650.0,3.0,2390.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1650.0,3.0,2390.01,1.0,764.0,4.0,3176.0,6.5,6298.5,0.0,0.0,2.5,2425.0,0.0,0.0,0.0,0.0,4.0,3093.32,6.0,4644.0,5.0,3665.0,7.0,5040.0,3.0,2390.0,1.0,764.0,2.0,1588.0,2.0,1938.0,0.0,0.0,2.5,2425.0,0.0,0.0,2.0,1785.0,13.0,10053.29,5.0,3870.0,3.0,2200.0,6.0,4320.0,5.0,3440.0,19.0,13917.5,17.0,13515.0,3.0,2910.0,0.0,0.0,2.0,1785.0,7.0,6416.69,9.0,8032.5,8.5,6715.0,0.0,0.0,0.0,0.0,4.5,3712.5,3.0,2390.0,1.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,151536.82,Oils
AA 10RS,22.0,213.3,25.0,250.0,62.0,620.0,67.0,674.0,177.0,1768.23,142.0,1417.3,169.5,1700.0,147.0,1473.0,95.0,950.0,41.5,420.4,64.0,655.0,34.0,355.0,55.0,770.0,142.0,1417.3,112.0,1125.0,87.0,955.26,87.0,955.0,95.0,975.0,122.0,1220.0,144.5,1475.0,155.0,2115.0,106.0,1104.0,88.0,2243.0,34.0,355.0,60.0,840.0,36.0,360.0,63.0,567.0,72.5,656.85,89.5,893.21,68.5,689.11,125.5,1255.0,149.5,1526.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,840.0,36.0,360.0,61.0,549.0,68.0,616.08,88.5,883.23,68.5,689.11,124.0,1240.0,150.5,1508.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,213.3,40.0,400.0,77.0,770.0,69.0,694.14,171.0,1708.29,147.0,1473.0,173.5,1740.205,154.0,1543.08,101.5,1015.0,143.0,1427.14,69.5,710.99,36.5,381.06,60.0,840.0,36.0,360.0,106.0,1078.0,48.0,515.0,92.0,1010.16,99.0,1015.74,125.0,1250.0,146.5,1495.765,160.1,2185.365,110.0,1146.2,91.0,2319.59,120.5,4278.955,125.0,1250.0,159.0,1588.0,112.0,1125.0,144.0,1440.0,110.0,1100.0,108.89,1107.4113,6751.490000000001,75860.18130000001,Spices
AA BADAM POWDER,4.5,490.0,7.0,530.0,6.0,757.5,2.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,876.75,7.5,66.0,0.0,0.0,3.5,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,626.25,3.0,26.4,0.0,0.0,3.5,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,490.0,37.0,2555.0,21.0,2651.25,4.0,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.5,9196.550000000001,Beverages
AA BIRIYANI 50GM,8.0,275.0,2.0,70.0,1.0,35.0,2.0,70.0,11.0,385.0,2.0,70.0,2.0,70.0,1.0,35.0,3.0,100.0,0.0,0.0,2.0,70.0,0.0,0.0,1.0,35.0,2.0,70.0,1.0,36.0,0.0,0.0,0.0,0.0,1.0,35.0,1.0,35.0,0.0,0.0,3.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,3.0,102.0,7.5,255.0,0.0,0.0,3.5,122.5,4.5,157.5,0.0,0.0,3.0,105.0,0.0,0.0,3.0,120.0,3.0,105.0,1.0,35.0,0.0,0.0,1.0,34.0,3.0,102.0,0.0,0.0,3.5,122.5,3.0,105.0,1.0,35.0,12.0,420.0,0.0,0.0,1.0,40.0,2.0,70.0,8.0,275.0,17.0,595.0,16.0,560.0,4.0,140.0,5.0,175.0,1.0,35.0,6.0,210.0,8.0,280.0,9.5,316.635,0.0,0.0,7.5,262.5,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,175.0,4.0,140.0,0.0,0.0,8.1,313.227,0.0,0.0,0.0,0.0,7.5,268.5,2.0,76.0,4.0,128.0,1.0,36.0,5.0,356.0,0.0,0.0,0.0,0.0,218.6,7849.362,Spices
AA CHIKEN 100GM,8.0,297.0,2.0,82.0,9.0,353.0,11.5,466.0,60.0,2310.0,51.0,1938.0,53.0,2014.0,39.0,1563.0,63.0,2555.0,55.5,2229.44,34.0,1380.0,41.0,1645.0,14.0,565.04,51.0,1938.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,95.0,9.0,440.0,10.0,475.0,7.0,400.0,6.5,325.0,4.5,229.5,41.0,1645.0,14.0,565.04,13.0,553.02,10.0,382.2,17.0,671.84,0.0,0.0,13.0,526.76,12.5,611.13,12.0,570.0,5.0,210.0,9.5,354.26,0.0,0.0,2.0,84.0,14.0,565.0,13.0,553.02,8.0,305.76,12.5,494.0,0.0,0.0,13.0,526.76,11.0,537.78,39.0,1563.12,14.0,588.0,8.5,317.0,0.0,0.0,1.0,42.0,8.0,297.0,17.0,697.0,24.0,941.28,13.5,547.02,54.0,2079.0,39.0,1563.0,57.0,2166.0,46.0,1843.68,69.5,2818.92,52.0,1976.0,39.5,1603.31,43.5,1745.22,14.0,565.0,13.0,553.0,0.0,0.0,10.0,400.0,0.0,0.0,6.0,285.0,12.0,586.68,12.0,570.0,12.1,691.394,10.5,525.0,7.5,382.5,6.5,333.125,3.0,150.0,1.0,50.0,0.0,0.0,5.0,213.0,17.0,714.0,4.89,205.38,1411.49,57467.17899999999,Spices
AA CHIKEN 50GM,3.0,72.0,7.0,155.0,2.0,43.0,2.0,36.0,12.0,267.0,5.0,125.0,7.0,170.0,1.0,25.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,125.0,3.0,81.0,1.0,25.0,1.0,25.0,2.0,50.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,50.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,82.0,7.5,127.5,3.5,84.0,3.5,63.0,5.5,137.5,0.0,0.0,3.0,78.0,10.0,258.9,3.0,84.0,8.0,198.88,0.0,0.0,0.0,0.0,2.0,41.0,3.0,51.0,2.5,60.0,3.5,63.0,4.0,100.0,1.0,25.0,12.0,312.0,9.0,233.0,1.0,28.0,7.0,174.0,3.0,72.0,22.0,487.08,17.0,365.5,4.0,72.0,6.0,133.5,1.0,25.0,11.0,267.19,8.0,200.0,7.5,187.5,6.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,150.0,6.0,150.0,5.0,125.0,0.0,0.0,0.0,0.0,6.0,150.0,4.0,100.0,6.5,172.25,1.0,27.0,0.0,0.0,3.0,81.0,0.0,0.0,12.0,324.0,4.89,132.03,289.89,6920.83,Spices
AA CP 100GM,16.0,445.0,32.0,900.0,18.0,494.0,21.0,590.0,53.0,1651.48,19.0,580.0,21.0,719.0,23.0,770.0,24.0,824.0,12.0,406.56,11.0,400.0,9.0,307.5,2.5,90.0,19.0,580.0,2.0,80.0,0.0,0.0,0.0,0.0,1.0,35.0,9.0,303.0,4.0,143.0,3.0,115.0,5.0,204.0,4.0,171.0,9.0,307.5,2.5,90.0,7.5,261.98,19.0,502.36,26.5,718.15,0.0,0.0,22.5,632.25,12.5,420.88,6.0,214.5,10.0,268.9,12.0,332.76,5.0,140.0,3.0,81.0,2.5,90.0,7.5,261.98,17.0,449.48,22.0,596.2,0.0,0.0,22.5,632.25,11.0,370.33,23.0,770.04,19.0,510.91,11.0,305.0,3.0,84.0,2.0,54.0,16.0,445.0,47.0,1322.11,33.0,905.52,23.0,646.3,47.0,1464.52,23.0,770.0,25.0,856.0,30.0,1004.4,30.5,1047.065,20.0,610.6,16.5,599.94,11.5,392.96,2.5,90.0,7.5,262.0,0.0,0.0,2.0,70.0,0.0,0.0,5.0,175.0,12.0,404.04,6.0,214.5,8.1,310.473,9.0,367.2,7.0,299.25,6.5,266.5,5.5,218.0,3.0,133.0,2.0,80.0,3.0,110.0,0.0,0.0,0.0,0.0,986.1,30967.388,Spices
AA CP 500GM,11.0,1215.0,12.0,1390.0,10.0,1130.0,12.0,1400.0,28.0,3487.4,19.0,2597.0,18.0,2493.0,16.0,2374.0,17.0,2555.0,9.5,1496.25,7.0,1183.0,15.0,2634.0,6.0,1068.0,19.0,2597.0,0.0,0.0,2.0,335.0,2.0,335.0,2.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2634.0,6.0,1068.0,13.0,2306.98,11.0,1232.0,17.5,2024.23,4.5,749.25,13.5,1575.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1068.0,13.0,2306.98,9.0,1008.0,13.0,1503.71,3.5,582.75,13.5,1575.045,0.0,0.0,16.0,2374.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1215.0,27.0,3127.41,25.0,2825.0,14.0,1633.38,22.0,2740.1,16.0,2374.0,22.0,3047.0,23.0,3412.74,23.5,3531.815,20.0,2733.6,12.5,2112.5,17.5,3073.0,6.0,1068.0,13.0,2333.0,0.0,0.0,3.0,528.0,7.0,1172.5,6.0,1002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,630.0,1.0,185.0,2.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,89728.76500000001,Spices
AA DP 100GM,12.0,305.0,22.5,566.5,11.0,273.0,13.0,326.0,34.0,850.0,11.0,279.0,13.0,337.0,12.0,296.0,17.5,525.0,6.5,203.65,9.0,270.0,9.0,275.0,4.0,120.0,11.0,279.0,0.0,0.0,2.5,75.0,2.5,75.0,1.0,30.0,8.0,242.0,2.5,82.0,7.5,220.0,5.0,157.5,0.5,15.0,9.0,275.0,4.0,120.0,6.0,180.0,12.0,285.84,18.5,445.48,5.0,145.0,14.5,363.66,11.5,347.88,4.5,147.6,5.0,122.5,10.0,241.1,8.0,200.0,3.0,75.0,4.0,120.0,6.0,180.0,10.0,238.2,14.0,337.12,4.0,116.0,14.5,363.66,10.0,302.5,12.0,296.04,14.0,343.0,9.0,217.0,6.0,147.0,2.0,50.0,12.0,305.0,37.5,944.25,26.0,645.32,15.0,376.2,28.0,700.0,12.0,296.0,17.0,440.64,19.0,468.73,24.0,720.0,12.0,304.32,14.5,435.0,0.0,0.0,4.0,120.0,6.0,180.0,0.0,0.0,6.0,190.0,7.5,225.0,5.0,150.0,11.0,332.75,4.5,147.6,12.6,369.558,9.0,283.5,3.5,105.0,4.0,126.68,0.0,0.0,0.0,0.0,0.0,0.0,0.5,16.5,0.0,0.0,0.0,0.0,722.1,19343.278000000002,Spices
